,severity,description
12579,2,At Touhy Ave - Accident.
12580,2,At Western Ave - Accident.
12581,2,At Buffalo Grove Rd - Accident.
12582,2,At US-41/W Foster Ave - Accident.
12583,2,At Pine Grove Ave - Accident.
12584,2,At School St - Accident.
12585,2,At 10th St/55th St - Accident.
12586,2,At Roselle Rd - Accident.
12587,2,At IL-137/Buckley Rd - Accident.
12588,2,At CR-37/CR-W26/N Kilbourne Rd - Accident.
12589,2,At CR-22/CR-W27/N Delany Rd - Accident.
12590,2,At US-20/Lake St/North Ave/Exit 13 - Accident.
12591,2,At IL-19/W Irving Park Rd/Lincoln Ave - Accident.
12592,2,At Justine St - Accident.
12593,4,Closed between Briggs St/Exit 134 and Richards St/Exit 133 - Road closed due to accident.
12594,2,At CR-5/CR-V62/N Quentin Rd - Accident.
12595,2,At Kedzie Ave - Accident.
12596,2,At IL-56/Butterfield Rd - Accident.
12597,2,At Roosevelt Rd - Accident.
12598,2,At Montrose Ave/Exit 43C - Accident.
12599,2,At Harrison St - Accident.
12600,2,At IL-53 - Accident.
12601,2,At IL-60/E Townline Rd - Accident.
12602,2,At IL-64/North Ave/Exit 48B - Accident.
12603,3,At Cicero Ave - Accident.
12604,3,At IL-137/N Sheridan Rd - Accident.
12605,3,At Keating Ave - Accident.
12606,3,At IL-137/N Sheridan Rd - Accident.
12607,3,At Belmont Ave/Exit 45C - Accident.
12608,3,At Keeler Ave/Exit 44A - Accident.
12609,3,At Harding Ave - Accident.
12610,3,At Harding Ave - Accident.
12611,2,At Diversey Ave/Exit 46B - Accident.
12612,3,At Canalport Ave/Cermak Rd/Exit 53 - Accident.
12613,3,At 130th St/Exit 68 - Accident.
12614,2,At Ela St - Accident.
12615,2,At 31st St/Exit 54 - Accident.
12616,2,At Montrose Ave/Exit 43C - Accident.
12617,2,At 63rd St - Accident.
12618,2,At Glenbard Rd - Accident.
12619,2,At Lester St - Accident.
12620,2,At Buffalo Grove Rd - Accident.
12621,2,At 21st St - Accident.
12622,2,At 35th St/Exit 55A - Accident.
12623,2,At 59th St/Exit 58A - Accident.
12624,2,At Frontage Rd - Accident.
12625,2,At Bell Ave - Accident.
12626,2,At 35th St/Exit 55A - Accident.
12627,2,At 31st St - Accident.
12628,2,At Sibley Blvd/147th St/Exit 350 - Accident.
12629,2,At Sacramento Blvd/Exit 27A - Accident.
12630,3,At Foster Ave - Accident.
12631,3,At Wilson Ave - Accident.
12632,3,At Lawrence Ave - Accident.
12633,3,At I-355/North-South Tollway - Accident.
12634,3,At 31st St - Accident.
12635,3,Between IN-10/Exit 230 and IN-14 - Accident.
12636,4,Closed between Michigan/Indiana State Line and M-239/La Porte Rd/Exit 1 - Road closed due to accident. Construction work.
12637,3,At IL-53-ext - Accident.
12638,3,At 16th St - Accident.
12639,3,At 16th St - Accident.
12640,3,At River Rd - Accident.
12641,3,At Randall Rd - Accident.
12642,4,Closed at County Road 575 E - Road closed due to accident.
12643,4,Closed at County Road 400 N - Road closed due to accident.
12644,3,At Wood St - Accident.
12645,3,At Wood St - Accident.
12646,3,At Elston Ave - Accident.
12647,3,At 130th St/Exit 68 - Accident.
12648,3,At IL-1/Halsted St/Exit 357 - Accident.
12649,4,Closed between 111th St/Exit 66A and 130th St/Exit 68 - Road closed due to accident. Construction work.
12650,2,At 43rd St/Exit 56A - Accident.
12651,2,At IL-176 (South) - Accident.
12652,2,Between 63rd St/Exit 58B and 59th St/Exit 58A - Accident.
12653,2,At CR-15/S Cass Ave - Accident.
12654,2,At Barclay Blvd - Accident.
12655,2,At Hannah Ave - Accident.
12656,2,At IL-171/Exit 282 - Accident.
12657,2,At US-34/Ogden Ave - Accident.
12658,2,At US-34/Ogden Ave - Accident.
12659,2,At CR-22/Plank Rd/Coombs Rd - Accident.
12660,2,At Peregrine Way - Accident.
12661,2,At Westmore Ave/S Westmore-Meyers Rd - Accident.
12662,2,At Dada Dr - Accident.
12663,2,At Grosse Pointe Cir - Accident.
12664,2,At Fullerton Ave/Exit 47A - Accident.
12665,3,At 47th St/Exit 56B - Accident.
12666,2,At Silver Lake Rd - Accident.
12667,2,At IL-59 - Accident.
12668,2,At IL-134/Round Lake Rd - Accident.
12669,2,At Downers Dr - Accident.
12670,2,At Allanson Rd - Accident.
12671,2,At IL-43/Waukegan Rd - Accident.
12672,2,At I-94/Torrence Ave/Exit 161 - Accident.
12673,2,At Ohio St/Exit 50B - Accident.
12674,2,At Downers Dr - Accident.
12675,2,At Lydia Ave - Accident.
12676,3,At Loop Rd - Accident.
12677,3,At CR-21/Fabyan Pky/W Washington St - Accident.
12678,3,At CR-21/Fabyan Pky/W Washington St - Accident.
12679,3,At Loop Rd - Accident.
12680,3,At Washington St - Accident.
12681,3,At Illinois St/Grand Ave - Accident.
12682,3,Between Dan Ryan Expy and 47th St/Exit 56B - Accident.
12683,3,At Ivanhoe Rd - Accident.
12684,3,At IL-56 Butterfield Rd - Accident.
12685,3,At CR-2/CR-A42/W Miller Rd - Accident.
12686,3,At Ivanhoe Rd - Accident.
12687,3,At Keller Ave - Accident.
12688,3,At Keller Ave - Accident.
12689,3,At I-355/North-South Tollway - Accident.
12690,3,At I-355/North-South Tollway - Accident.
12691,3,At IL-38/Roosevelt Rd - Accident.
12692,3,At US-41/Skokie Hwy - Accident.
12693,3,At US-45/96th Ave/Exit 145 - Accident.
12694,3,At Riverside Dr - Accident.
12695,3,At Riverside Dr - Accident.
12696,3,At US-12/US-20/95th St - Accident.
12697,3,At Campbell Ave - Accident.
12698,3,At Campbell Ave - Accident.
12699,3,At 103rd St - Accident.
12700,3,At Kilpatrick Ave - Accident.
12701,3,At Roselle Rd - Accident.
12702,3,At Fullerton Ave/Exit 47A - Accident.
12703,3,At Belmont Ave/Lincoln Ave - Accident.
12704,3,Between 31st St/Exit 54 and I-55/Stevenson Expy/Exit 53C - Accident.
12705,2,At 130th St/Exit 68 - Accident.
12706,3,At Lake St/Exit 51A - Accident.
12707,4,Closed at Roselle Rd - Road closed due to accident.
12708,4,Closed at Ela Rd - Road closed due to accident.
12709,4,Closed at US-421/Exit 34 - Road closed due to accident.
12710,4,Closed between Seven Mile Rd/Exit 326 and WI-241/27th St/Exit 325 - Road closed due to accident.
12711,4,Closed between CR-G/Exit 327 and WI-100/Ryan Rd/Exit 322 - Road closed due to accident.
12712,3,At IL-22/Half Day Rd - Accident.
12713,3,At IN-912/Cline Ave/Exit 5 - Accident.
12714,2,At 31st St/Exit 54 - Accident.
12715,2,At E Cuba Rd - Accident.
12716,2,At Forest Ave - Accident.
12717,2,At CR-36/CR-V67/Deep Lake Rd - Accident.
12718,2,At Westmoreland Dr - Accident.
12719,2,At IL-38/Roosevelt Rd - Accident.
12720,2,At Ambriance Dr - Accident.
12721,2,At US-12/US-20/95th St - Accident.
12722,2,At Executive Way Dr - Accident.
12723,2,At IL-171/Exit 282 - Accident.
12724,2,At Schick Rd - Accident.
12725,2,At Dole Ave - Accident.
12726,2,At Tannahill Dr - Accident.
12727,2,At Skokie Hwy - Accident.
12728,4,Closed at New Carlisle - Road closed due to accident.
12729,2,Between I-94/I-294/Edens Expy Spur and Wilmot Rd - Accident.
12730,2,At Bryn Mawr Ave - Accident.
12731,2,At IL-19/Irving Park Rd - Accident.
12732,2,At IL-83/Kingery Hwy - Accident.
12733,2,At Kildare Ave - Accident.
12734,2,At IN-14 - Accident.
12735,2,At Mark St - Accident.
12736,2,At IL-53 - Accident.
12737,2,At Melvina Ave - Accident.
12738,2,At IL-50/Cicero Ave/Exit 24B - Accident.
12739,2,At Grant St - Accident.
12740,2,Between Milwaukee Ave/S Riverside Dr and W Belvidere Rd - Accident.
12741,2,At Lake Shore Dr - Accident.
12742,2,At CR-22/CR-W27/N Delany Rd - Accident.
12743,2,At Woodward Ave - Accident.
12744,2,At Western Ave - Accident.
12745,2,At 22nd St - Accident.
12746,3,At IL-134/Main St - Accident.
12747,3,At US-14/Peterson Ave/Exit 41B - Accident.
12748,3,At Hanssen Rd - Accident.
12749,3,At Hanssen Rd - Accident.
12750,3,At Lemont Rd/Exit 271 - Accident.
12751,3,At Cicero Ave - Accident.
12752,3,At Cicero Ave - Accident.
12753,3,At IL-134/Round Lake Rd - Accident.
12754,3,At US-41/Skokie Hwy/Skokie Valley Rd - Accident.
12755,3,At 22nd St - Accident.
12756,3,At 22nd St - Accident.
12757,3,At Butterfield Rd - Accident.
12758,3,At CR-32/CR-V77/N Old McHenry Rd - Accident.
12759,3,At Main St - Accident.
12760,3,At Main St - Accident.
12761,3,At CR-32/CR-V77/N Old McHenry Rd - Accident.
12762,4,At Monee Manhattan Rd/Exit 335 - Accident.
12763,3,At CR-5/CR-V62/N Quentin Rd - Accident.
12764,3,At IL-176 - Accident.
12765,3,At CR-5/CR-V62/N Quentin Rd - Accident.
12766,3,At Briar St - Accident.
12767,3,Between Damen Ave/Exit 290 and I-94/Ryan Expy/Exit 292 - Accident.
12768,2,At I-88/E-W Tollway (North) - Accident.
12769,3,At IL-171/Archer Ave - Accident.
12770,3,At IL-50/Cicero Ave - Accident.
12771,2,At IL-43/Harlem Ave/Exit 21B - Accident.
12772,2,At Prairie Rd - Accident.
12773,2,At I-55/Stevenson Expy/Exit 53B - Accident.
12774,2,Ramp to I-88/Ronald Regan Meml Tollway WB - Accident.
12775,2,At Wilson St - Accident.
12776,2,Ramp to I-88/E-W Tollway - Accident.
12777,2,At CR-21/Big Timber Rd - Accident.
12778,2,At Joliet Rd - Accident.
12779,2,At CR-60/CR-V57/Ela Rd - Accident.
12780,2,At Burr St/Exit 6 - Accident.
12781,2,At IL-137/Buckley Rd/Ivanhoe Rd - Accident.
12782,2,At Burr St/Exit 6 - Accident.
12783,2,At Hawley St - Accident.
12784,2,At IL-53 - Accident.
12785,2,At 63rd St - Accident.
12786,2,At CR-45/CR-A22/Washington St - Accident.
12787,3,At Hawley St - Accident.
12788,3,At Hawley St - Accident.
12789,3,At Keeler Ave/Exit 44A - Accident.
12790,3,At CR-53/Diehl Rd - Accident.
12791,3,At CR-53/Diehl Rd - Accident.
12792,3,At Butterfield Rd - Accident.
12793,3,At CR-20/CR-A33/W Peterson Rd - Accident.
12794,2,At Almond Rd - Accident.
12795,2,At Almond Rd - Accident.
12796,3,At CR-65/W Yorkhouse Rd/York House Rd - Accident.
12797,3,At 130th St/Exit 68 - Accident.
12798,3,At Damen Ave/Exit 47B - Accident.
12799,2,At IL-132/Grand Ave - Accident.
12800,3,At 71st St/Exit 59C (East) - Accident.
12801,3,At CR-27/N Lewis Ave - Accident.
12802,3,At Pulaski - Accident.
12803,3,At I-290/Eisenhower Expy/Congress Pky - Accident.
12804,3,At I-290/Eisenhower Expy/Congress Pky - Accident.
12805,3,Between IL-68/Dundee Rd/Exit 30 and Tower Rd/Exit 31 - Accident.
12806,3,At 111th St/Exit 66A - Accident.
12807,3,At US-34/Ogden Ave - Accident.
12808,2,At IL-21/N Milwaukee Ave - Accident.
12809,3,At US-12/IL-59 - Accident.
12810,3,At I-290/US-20/IL-64 - Accident.
12811,3,At IL-131/N Green Bay Rd - Accident.
12812,3,At IL-38 - Accident.
12813,3,At IL-21/N Milwaukee Ave - Accident.
12814,3,At IL-132/Grand Ave - Accident.
12815,3,At Cr-w11 - Accident.
12816,3,At IL-60 - Accident.
12817,3,At CR-46/CR-A19/Sunset Ave - Accident.
12818,3,At I-355/North-South Tollway - Accident.
12819,3,At I-355/North-South Tollway - Accident.
12820,3,At Lake Cook Rd - Accident.
12821,3,Between IL-59/Barrington Rd and Cook St - Accident.
12822,3,At N Main St/Old Rand Rd - Accident.
12823,3,At IL-59/Barrington Rd - Accident.
12824,3,At Case Rd - Accident.
12825,3,At the OHare Oasis - Accident.
12826,3,At just east of Powers Rd - Accident.
12827,3,At just north of IL-53 - Accident.
12828,3,At IL-83 - Accident.
12829,3,At IL-132/Grand Ave - Accident.
12830,2,At WI-20/Washington Ave - Accident.
12831,3,At Aurora Toll Plaza - Accident.
12832,3,Between I-94/Torrence Ave/Exit 161 and US-41/Calumet Ave/Exit 1 - Accident.
12833,3,Between I-94/Torrence Ave/Exit 161 and US-41/Calumet Ave/Exit 1 - Accident.
12834,3,At St Charles Rd/Exit 14 - Accident.
12835,3,At 17th Ave/Exit 19A - Accident.
12836,2,At IL-19/Irving Park Rd - Accident.
12837,2,At IL-19/Irving Park Rd - Accident.
12838,2,At I-90/I-94/N California Ave - Accident.
12839,2,At Cr-a22 - Accident.
12840,2,At Central Ave/Exit 23B - Accident.
12841,2,At I-90 Exp/I-94 Exp/Kennedy Exp - Accident.
12842,2,At CR-15/N Cass Ave - Accident.
12843,2,At W Armitage Ave - Accident.
12844,2,At CR-46/Sunset Ave - Accident.
12845,2,At W 47th St - Accident.
12846,2,At US-421/Exit 34 - Accident.
12847,2,Ramp to I-294/Tri-State Tollway Northbound - Accident.
12848,2,Ramp to Exit 277A - Accident.
12849,2,Ramp to I-294/Tri-State Tollway Northbound - Accident.
12850,2,Ramp to I-294/Tri-State Tollway Northbound - Accident.
12851,2,At 111th St/Exit 66A - Accident.
12852,2,Ramp to I-294/Tri-State Tollway Northbound - Accident.
12853,2,Ramp to I-294 Northbound and Hinsdale Oasis Rest Area - Accident.
12854,3,At I-294/Exit 277A - Accident.
12855,2,At Wise Rd - Accident.
12856,2,At IL-50/Cicero Ave/Exit 24B - Accident.
12857,4,At 43rd St/Exit 56A - Accident.
12858,3,At I-294/Exit 277B - Accident.
12859,2,At IL-43/Harlem Ave/Exit 21B - Accident.
12860,3,At I-294/Exit 277B - Accident.
12861,3,At 24th St - Accident.
12862,3,At CR-3 - Accident.
12863,3,At IL-83 - Accident.
12864,3,At CR-15 - Accident.
12865,3,At IL-132/Grand Ave - Accident.
12866,3,At N Kimball Ave - Accident.
12867,3,At I-355 (South) - Accident.
12868,3,At Center St - Accident.
12869,3,At US-45/IL-21/Milwaukee Ave - Accident.
12870,3,At Des Plaines Ave/Exit 21A - Accident.
12871,3,Between IL-59/Hawthorne Rd/Old Dundee Rd and at Barrington Rd - Accident.
12872,3,Between at Barrington Rd and IL-59/Hawthorne Rd/Old Dundee Rd - Accident.
12873,3,At 17th Ave/Exit 19A - Accident.
12874,2,At Canfield Rd/Exit 80 - Accident.
12875,2,At 137th St/Doty Ave/Exit 69 - Accident.
12876,2,At CR-46/Sunset Ave - Accident.
12877,2,Between I-355/US-20/Lake St/Exit 7 and IL-83/Exit 10 - Accident.
12878,2,At I-90/Kennedy Expy - Accident.
12879,2,At CR-51/CR-A12/W Petite Lake Rd - Accident.
12880,2,At Grant St/Exit 9 - Accident.
12881,2,At 25th Ave - Accident.
12882,2,Between CR-V69/Arlington Heights Rd and IL-53-ext - Accident.
12883,2,At Keeler Ave/Exit 44A - Accident.
12884,2,At US-12/US-20/US-45/Exit 279 - Accident.
12885,2,At IL-22/Half Day Rd - Accident.
12886,2,At I-90/Kennedy Expy - Accident.
12887,3,At Harrison Pl - Accident.
12888,2,At 82nd/83rd St Toll Plaza - Accident.
12889,2,At IL-59 - Accident.
12890,4,Closed at IL-59 - Road closed due to accident.
12891,2,At CR-11/W Army Trail Rd - Accident.
12892,4,Closed at Ca-A7/State Park Rd - Road closed due to accident.
12893,2,At Ridge Rd - Accident.
12894,2,At CR-27 - Accident.
12895,2,At IL-43/Waukegan Rd - Accident.
12896,2,At Three Oaks Ln - Accident.
12897,2,At I-290/US-20/IL-64 - Accident.
12898,3,At Lake Cook Rd - Accident.
12899,3,At IL-22 - Accident.
12900,3,At Lake Cook Rd - Accident.
12901,3,At I-355 (North) - Accident.
12902,3,At US-34/Ogden Ave - Accident.
12903,3,At W Roosevelt Rd - Accident.
12904,4,Closed between IL-53-ext and CR-V69/Arlington Heights Rd - Road closed due to accident.
12905,4,Closed at IL-53-ext - Road closed due to accident.
12906,3,Between Garfield Blvd/Exit 57B and 63rd St/Exit 58B - Accident.
12907,3,At Batavia Rd - Accident.
12908,3,At Meadow Ave - Accident.
12909,4,Closed at Weld Rd - Road closed due to accident.
12910,4,Closed at I-90/Kennedy Expy - Road closed due to accident.
12911,4,Closed at Armitage Ave/Exit 48A - Road closed due to accident.
12912,4,Closed at 160th Ave - Road closed due to accident.
12913,4,Ramp closed to Exit 51H - Road closed due to accident.
12914,4,Ramp closed to I-290/Eisenhower Expy - Road closed due to accident.
12915,4,Ramp closed to I-290/Eisenhower Expy - Road closed due to accident.
12916,4,Ramp closed to I-290/Eisenhower Expy Westbound - Road closed due to accident.
12917,3,At IL-43/Harlem Ave/Exit 21B - Accident.
12918,2,At IL-21/Milwaukee Ave/N Riverside Dr - Accident.
12919,2,At IL-132/W Grand Ave/N Entrance Dr - Accident.
12920,2,At Rand Rd - Accident.
12921,2,At N Prairie Rd - Accident.
12922,3,Between I-290/Eisenhower Expy and I-290/US-20/IL-64 - Accident.
12923,2,At Prairie View Ln - Accident.
12924,2,At US-12/US-20/US-45/Exit 279 - Accident. Lane blocked.
12925,2,At CR-22/CR-W27/N Delany Rd - Accident.
12926,4,Closed at Joliet Rd - Road closed due to accident.
12927,4,Closed at Enterprise Dr - Road closed due to accident.
12928,2,At Cr-a36 - Accident.
12929,2,At IL-176/W Liberty St - Accident.
12930,3,At I-355/Vets Meml Tollway/Exit 140 - Accident.
12931,3,At US-45 - Accident.
12932,3,At Buckley Rd - Accident.
12933,3,At Allanson Rd - Accident.
12934,3,At Randolph St - Accident.
12935,3,At IL-22 - Accident.
12936,3,At Ohare Oasis - Accident.
12937,3,At Greenwood Ave - Accident.
12938,2,At Touhy Ave/Exit 39 - Accident.
12939,3,At 130th St/Exit 68 - Accident.
12940,3,At Main Pl - Accident.
12941,3,At Gary Ave - Accident.
12942,3,At Elston Ave - Accident.
12943,2,At Kennedy Ave/Exit 3 - Accident.
12944,2,At IL-131/S Green Bay Rd - Accident.
12945,2,At CR-20/CR-A33/W Peterson Rd - Accident.
12946,2,Ramp to I-290/Eisenhower Expy - Accident.
12947,2,At 130th St/Exit 68 - Accident.
12948,3,At US-12/US-20/US-45/Exit 17 - Accident.
12949,2,At Niles Center Rd/Carpenter Rd - Accident.
12950,2,At CR-7/CR-V58/N Wilson Rd - Accident.
12951,2,At E Main St/Lake Cook Rd - Accident.
12952,2,Ramp to I-55 NB and 22nd St/Cermak Rd - Accident.
12953,2,Ramp to Exit 53C - Accident.
12954,2,Ramp to I-55 NB and 22nd St/Cermak Rd - Accident.
12955,2,Between Rand Rd and Orchard Pond Dr - Accident.
12956,2,At IL-22/W Half Day Rd - Accident.
12957,2,At IL-53 - Accident.
12958,2,At Bradford Dr - Accident.
12959,2,At US-41 - Accident.
12960,2,At CR-41/CR-W19/N St Marys Rd - Accident.
12961,4,Between IL-53/Exit 267 and I-355/Exit 269 - Accident.
12962,3,At Oakley BLV/Western Ave/Exit 27C - Accident.
12963,2,At I-94/I-41 - Accident.
12964,3,At IL-83/W 147th St - Accident.
12965,3,At CR-2/Finley Rd - Accident.
12966,3,At St Charles Rd/Exit 14 - Accident.
12967,3,At W Chicago Ave - Accident.
12968,3,At CR-9/Highland Ave - Accident.
12969,3,At CR-9/Highland Ave - Accident.
12970,3,At Center St/Exit 131 - Accident.
12971,3,At IL-120/Belvidere Rd - Accident.
12972,3,At Wolf Rd/Exit 16 - Accident.
12973,3,At Joliet St - Accident.
12974,3,At Cr-w11 - Accident.
12975,3,At I-94/Tri-State Tollway - Accident.
12976,3,At IL-43/Harlem Ave/Exit 21B - Accident.
12977,3,At CR-23/Naperville Rd - Accident.
12978,3,At IL Route 53 - Accident.
12979,3,At Cr-w11 - Accident.
12980,2,At Waukegan Toll Plaza - Accident.
12981,2,At CR-7 - Accident.
12982,2,At Roosevelt Dr - Accident.
12983,2,At Cr-a12 - Accident.
12984,2,Between IL-83 and Wellington Dr - Accident.
12985,2,At CR-25/Meyers Rd/Westmore-Meyers Rd - Accident.
12986,2,Between River Grange Rd and McLean Blvd - Accident.
12987,4,Closed at W 29th St - Road closed due to accident. Roadwork.
12988,2,Between McLean Blvd and River Grange Rd - Accident.
12989,4,Closed at IL-83/Glenwood Dyer Rd - Road closed due to accident.
12990,4,Closed between IL-83/Glenwood Dyer Rd and Torrence Ave - Road closed due to accident.
12991,4,Closed at IL-60/Townline Rd/W Kennedy Rd - Road closed due to accident.
12992,4,Closed between IL-60/Townline Rd/W Kennedy Rd and Westleigh Rd - Road closed due to accident.
12993,2,At US-12/US-20 - Accident.
12994,2,At IL-68/W Dundee Rd - Accident.
12995,2,Between CR-44/CR-V47/N Darrell Rd and US-12/IL-59/N Rand Rd - Accident.
12996,2,At Westleigh Rd - Accident.
12997,3,At Burr Oak Ave/127th St/Exit 353 - Accident.
12998,2,At IL-83/Kingery Hwy - Accident.
12999,2,At CR-33/CR-A44/Aptakisic Rd - Accident.
13000,2,At Lake St - Accident.
13001,2,At IL-25 - Accident.
13002,3,At IL-132/Grand Ave - Accident.
13003,3,Between I-53 and Naperville Rd - Accident.
13004,3,At 69th St - Accident.
13005,3,At Cr-a4 - Accident.
13006,3,At 70th St - Accident.
13007,3,At CR-29/CR-W15/N Hunt Club Rd - Accident.
13008,3,At S Cottage Grove Ave - Accident.
13009,3,At IL-31/8th St - Accident.
13010,3,At 91st St - Accident.
13011,3,At I-80/Exit 250 - Accident. Overturned vehicle.
13012,3,At Damen Ave/Exit 290 - Accident.
13013,2,At Damen Ave/Exit 290 - Accident.
13014,2,Between Stony Island Ext and Stony Island Ave/Exit 65 - Accident.
13015,2,At Americana Dr - Accident.
13016,2,At 63rd St - Accident.
13017,2,At CR-29 - Accident.
13018,2,At IL-53 - Accident.
13019,2,At IL-132/W Grand Ave - Accident.
13020,2,At Racine Ave/Exit 29A - Accident.
13021,3,At 51st St/Exit 57A - Accident.
13022,3,Between IL-68/Dundee Rd/Exit 30 and Tower Rd/Exit 31 - Accident.
13023,3,Between Kostner Ave/Exit 25 and IL-50/Cicero Ave/Exit 24B - Accident.
13024,2,At Boughton Rd - Accident.
13025,3,At Damen Ave/Exit 290 - Accident.
13026,2,At US-20/Lake St/York Rd/Exit 12 - Accident.
13027,2,At 76th St/Exit 60B - Accident.
13028,2,At I-90/I-94 Eastern Split - Accident.
13029,3,At Homan Ave/Exit 26B - Accident.
13030,3,At Sacramento Blvd/Exit 27A - Accident.
13031,2,At Winfield Rd - Accident.
13032,3,At N Lehigh Ave - Accident.
13033,3,At S Canal St - Accident.
13034,3,At OHare Oasis - Accident.
13035,2,At Austin Ave/Exit 82C - Accident.
13036,3,At I-94/Torrence Ave/Exit 161 - Accident.
13037,3,At 25th Ave/Exit 18 - Accident.
13038,2,At Nagle Ave - Accident.
13039,3,At IL-64/La Salle Dr - Accident.
13040,3,At Cr-a49 - Accident.
13041,4,Closed between IN-10/Exit 230 and IN-2/Exit 240 - Road closed due to accident.
13042,2,At S Kedzie Ave - Accident.
13043,4,Closed at 139th St - Road closed due to accident.
13044,4,Ramp to I-290/US-20/IL-64 - Accident.
13045,3,At IL-137/Buckley Rd - Accident.
13046,2,At Butterfield Rd - Accident.
13047,2,At Cr-v47 - Accident.
13048,2,At IL-60/E Townline Rd - Accident.
13049,2,At IL-59 - Accident.
13050,2,At CR-25/Meyers Rd/Westmore-Meyers Rd - Accident.
13051,2,At CR-25/Meyers Rd/Westmore-Meyers Rd - Accident.
13052,2,At IL-60/Townline Rd/W Kennedy Rd - Accident.
13053,2,At IL-60/Townline Rd/W Kennedy Rd - Accident.
13054,2,At CR-9/Main St - Accident.
13055,2,At CR-2/Finley Rd/Belmont Rd - Accident.
13056,2,At Powis Rd - Accident.
13057,2,At IL-38/Roosevelt Rd - Accident.
13058,2,At Powis Rd - Accident.
13059,2,At CR-23/Gary Ave - Accident.
13060,2,At Baker Hill Dr - Accident.
13061,2,At County Farm Rd - Accident.
13062,3,At US-41/Skokie Hwy - Accident.
13063,3,At US-45 - Accident.
13064,3,At IL-21/N Milwaukee Ave - Accident.
13065,3,At Cr-a22 - Accident.
13066,2,Between 75th St and I-55/Stevenson Expy (South) - Accident.
13067,3,At W Westleigh Rd - Accident.
13068,3,At Cr-w19 - Accident.
13069,3,At IL-131/N Green Bay Rd - Accident.
13070,3,At Foster Ave/Exit 83A - Accident.
13071,3,At Cr-a46 - Accident.
13072,3,At US-45 - Accident.
13073,3,At CR-32/CR-V77/N Old McHenry Rd - Accident.
13074,3,At Hoyne Ave - Accident.
13075,3,At 130th St/Exit 68 - Accident.
13076,3,At US-45 - Accident.
13077,3,At Park Blvd - Accident.
13078,3,At Des Plaines Ave/Exit 21A - Accident.
13079,3,At Central Ave/Exit 23B - Accident.
13080,3,At Central Ave/Exit 285 - Accident.
13081,3,At Touhy Ave/Exit 39 - Accident.
13082,3,At I-55/Stevenson Expy/Exit 53C - Accident.
13083,4,Closed at August Zupec Dr - Road closed due to accident.
13084,2,At I-94/Torrence Ave/Exit 161 - Accident.
13085,3,At 83rd St/Exit 61A/Exit 61B - Accident.
13086,3,At Orchard Rd - Accident.
13087,3,At Orchard Rd - Accident.
13088,4,Closed at Galena Blvd - Road closed due to accident.
13089,4,Closed at Indian Trail Rd - Road closed due to accident.
13090,2,At IL-53/Exit 267 - Accident.
13091,2,At Dolton Ave/Exit 70 - Accident.
13092,2,Ramp to I-190/Jane Addams Meml Tollway WB - Accident.
13093,2,Ramp to I-294/Tri-State Tollway - Accident.
13094,2,At CR-14 - Accident.
13095,2,At 82nd/83rd St Toll Plaza - Accident.
13096,2,At IL-134/W Big Hollow Rd - Accident.
13097,2,Between Genesee St and Old Mill Grove Rd - Accident.
13098,2,Between Old Mill Grove Rd and Genesee St - Accident.
13099,4,Closed at Old Mill Rd - Road closed due to accident.
13100,2,At Cr-a20 - Accident.
13101,2,At Beacon St - Accident.
13102,2,At IL-59/Sutton Rd - Accident.
13103,2,At CR-23 - Accident.
13104,2,At Cr-a17 - Accident.
13105,2,At Cemetery Rd - Accident.
13106,3,At IL-132/Grand Ave - Accident.
13107,3,At US-12/US-20/US-45/Exit 279 - Accident.
13108,3,At Park Ave W - Accident.
13109,3,At CR-32/CR-V77/Old McHenry Rd - Accident.
13110,3,At Cr-a22 - Accident.
13111,3,Between Greenleaf Ave and CR-38/CR-W20/S Oplaine Rd - Accident.
13112,3,At IL-38/Roosevelt Rd - Accident.
13113,3,At Montrose Ave/Exit 43C - Accident.
13114,2,At CR-15/N Cass Ave - Accident.
13115,3,At CR-43 - Accident.
13116,3,At 43rd St/Exit 56A - Accident.
13117,3,At IL-83/Sibley Blvd/Exit 71 - Accident.
13118,4,Closed between 59th St/Exit 58A and 57th St - Road closed due to accident.
13119,3,At 59th St/Exit 58A - Accident.
13120,2,At Garfield Blvd/Exit 57B - Accident.
13121,2,At IL-22/Half Day Rd - Accident.
13122,2,At IL-22/Half Day Rd - Accident.
13123,2,At Lake Villa - Accident.
13124,2,At CR-51/CR-A12/W Petite Lake Rd - Accident.
13125,2,At E Old Elm Rd/Old Elm Rd - Accident.
13126,4,Closed at IL-68/Dundee Rd - Road closed due to accident. Roadwork.
13127,4,Closed at S Barrington Rd/S Hough St - Road closed due to accident. Roadwork.
13128,2,At I-90/I-94 Eastern Split - Accident.
13129,2,At IL-50/Cicero Ave/Exit 286 - Accident.
13130,2,At Cr-w19 - Accident.
13131,2,At IL-134/W Big Hollow Rd - Accident.
13132,2,At CR-7/W St Charles Rd - Accident.
13133,2,At Winfield Rd - Accident.
13134,2,At IL-22/Half Day Rd - Accident.
13135,3,At 1st Ave/Exit 20 - Accident.
13136,3,At CR-29/CR-W15/N Hunt Club Rd - Accident.
13137,3,At Cr-w27 - Accident.
13138,3,At CR-38/CR-W20/S Oplaine Rd - Accident.
13139,3,At IL-131/N Green Bay Rd - Accident.
13140,3,At Cr-a6 - Accident.
13141,3,At IL-59 - Accident.
13142,3,At Cr-v45 - Accident.
