severity,description
2,At Keeler Ave/Exit 44A - Accident.
2,At US-12/US-20/US-45/Exit 279 - Accident.
2,At IL-22/Half Day Rd - Accident.
2,At I-90/Kennedy Expy - Accident.
3,At Harrison Pl - Accident.
2,At 82nd/83rd St Toll Plaza - Accident.
2,At IL-59 - Accident.
4,Closed at IL-59 - Road closed due to accident.
2,At CR-11/W Army Trail Rd - Accident.
4,Closed at Ca-A7/State Park Rd - Road closed due to accident.
2,At Ridge Rd - Accident.
2,At CR-27 - Accident.
2,At IL-43/Waukegan Rd - Accident.
2,At Three Oaks Ln - Accident.
2,At I-290/US-20/IL-64 - Accident.
3,At Lake Cook Rd - Accident.
3,At IL-22 - Accident.
3,At Lake Cook Rd - Accident.
3,At I-355 (North) - Accident.
3,At US-34/Ogden Ave - Accident.
3,At W Roosevelt Rd - Accident.
4,Closed between IL-53-ext and CR-V69/Arlington Heights Rd - Road closed due to accident.
4,Closed at IL-53-ext - Road closed due to accident.
3,Between Garfield Blvd/Exit 57B and 63rd St/Exit 58B - Accident.
3,At Batavia Rd - Accident.
3,At Meadow Ave - Accident.
4,Closed at Weld Rd - Road closed due to accident.
4,Closed at I-90/Kennedy Expy - Road closed due to accident.
4,Closed at Armitage Ave/Exit 48A - Road closed due to accident.
4,Closed at 160th Ave - Road closed due to accident.
4,Ramp closed to Exit 51H - Road closed due to accident.
4,Ramp closed to I-290/Eisenhower Expy - Road closed due to accident.
4,Ramp closed to I-290/Eisenhower Expy - Road closed due to accident.
4,Ramp closed to I-290/Eisenhower Expy Westbound - Road closed due to accident.
3,At IL-43/Harlem Ave/Exit 21B - Accident.
2,At IL-21/Milwaukee Ave/N Riverside Dr - Accident.
2,At IL-132/W Grand Ave/N Entrance Dr - Accident.
2,At Rand Rd - Accident.
2,At N Prairie Rd - Accident.
3,Between I-290/Eisenhower Expy and I-290/US-20/IL-64 - Accident.
2,At Prairie View Ln - Accident.
2,At US-12/US-20/US-45/Exit 279 - Accident. Lane blocked.
2,At CR-22/CR-W27/N Delany Rd - Accident.
4,Closed at Joliet Rd - Road closed due to accident.
4,Closed at Enterprise Dr - Road closed due to accident.
2,At Cr-a36 - Accident.
2,At IL-176/W Liberty St - Accident.
3,At I-355/Vets Meml Tollway/Exit 140 - Accident.
3,At US-45 - Accident.
3,At Buckley Rd - Accident.
3,At Allanson Rd - Accident.
3,At Randolph St - Accident.
3,At IL-22 - Accident.
3,At Ohare Oasis - Accident.
3,At Greenwood Ave - Accident.
2,At Touhy Ave/Exit 39 - Accident.
3,At 130th St/Exit 68 - Accident.
3,At Main Pl - Accident.
3,At Gary Ave - Accident.
3,At Elston Ave - Accident.
2,At Kennedy Ave/Exit 3 - Accident.
2,At IL-131/S Green Bay Rd - Accident.
2,At CR-20/CR-A33/W Peterson Rd - Accident.
2,Ramp to I-290/Eisenhower Expy - Accident.
2,At 130th St/Exit 68 - Accident.
3,At US-12/US-20/US-45/Exit 17 - Accident.
2,At Niles Center Rd/Carpenter Rd - Accident.
2,At CR-7/CR-V58/N Wilson Rd - Accident.
2,At E Main St/Lake Cook Rd - Accident.
2,Ramp to I-55 NB and 22nd St/Cermak Rd - Accident.
2,Ramp to Exit 53C - Accident.
2,Ramp to I-55 NB and 22nd St/Cermak Rd - Accident.
2,Between Rand Rd and Orchard Pond Dr - Accident.
2,At IL-22/W Half Day Rd - Accident.
2,At IL-53 - Accident.
2,At Bradford Dr - Accident.
2,At US-41 - Accident.
2,At CR-41/CR-W19/N St Marys Rd - Accident.
4,Between IL-53/Exit 267 and I-355/Exit 269 - Accident.
3,At Oakley BLV/Western Ave/Exit 27C - Accident.
2,At I-94/I-41 - Accident.
3,At IL-83/W 147th St - Accident.
3,At CR-2/Finley Rd - Accident.
3,At St Charles Rd/Exit 14 - Accident.
3,At W Chicago Ave - Accident.
3,At CR-9/Highland Ave - Accident.
3,At CR-9/Highland Ave - Accident.
3,At Center St/Exit 131 - Accident.
3,At IL-120/Belvidere Rd - Accident.
3,At Wolf Rd/Exit 16 - Accident.
3,At Joliet St - Accident.
3,At Cr-w11 - Accident.
3,At I-94/Tri-State Tollway - Accident.
3,At IL-43/Harlem Ave/Exit 21B - Accident.
3,At CR-23/Naperville Rd - Accident.
3,At IL Route 53 - Accident.
3,At Cr-w11 - Accident.
2,At Waukegan Toll Plaza - Accident.
2,At CR-7 - Accident.
2,At Roosevelt Dr - Accident.
2,At Cr-a12 - Accident.
2,Between IL-83 and Wellington Dr - Accident.
2,At CR-25/Meyers Rd/Westmore-Meyers Rd - Accident.
2,Between River Grange Rd and McLean Blvd - Accident.
4,Closed at W 29th St - Road closed due to accident. Roadwork.
2,Between McLean Blvd and River Grange Rd - Accident.
4,Closed at IL-83/Glenwood Dyer Rd - Road closed due to accident.
4,Closed between IL-83/Glenwood Dyer Rd and Torrence Ave - Road closed due to accident.
4,Closed at IL-60/Townline Rd/W Kennedy Rd - Road closed due to accident.
4,Closed between IL-60/Townline Rd/W Kennedy Rd and Westleigh Rd - Road closed due to accident.
2,At US-12/US-20 - Accident.
2,At IL-68/W Dundee Rd - Accident.
2,Between CR-44/CR-V47/N Darrell Rd and US-12/IL-59/N Rand Rd - Accident.
2,At Westleigh Rd - Accident.
3,At Burr Oak Ave/127th St/Exit 353 - Accident.
2,At IL-83/Kingery Hwy - Accident.
2,At CR-33/CR-A44/Aptakisic Rd - Accident.
2,At Lake St - Accident.
2,At IL-25 - Accident.
3,At IL-132/Grand Ave - Accident.
3,Between I-53 and Naperville Rd - Accident.
3,At 69th St - Accident.
3,At Cr-a4 - Accident.
3,At 70th St - Accident.
3,At CR-29/CR-W15/N Hunt Club Rd - Accident.
3,At S Cottage Grove Ave - Accident.
3,At IL-31/8th St - Accident.
3,At 91st St - Accident.
3,At I-80/Exit 250 - Accident. Overturned vehicle.
3,At Damen Ave/Exit 290 - Accident.
2,At Damen Ave/Exit 290 - Accident.
2,Between Stony Island Ext and Stony Island Ave/Exit 65 - Accident.
2,At Americana Dr - Accident.
2,At 63rd St - Accident.
2,At CR-29 - Accident.
2,At IL-53 - Accident.
2,At IL-132/W Grand Ave - Accident.
2,At Racine Ave/Exit 29A - Accident.
3,At 51st St/Exit 57A - Accident.
3,Between IL-68/Dundee Rd/Exit 30 and Tower Rd/Exit 31 - Accident.
3,Between Kostner Ave/Exit 25 and IL-50/Cicero Ave/Exit 24B - Accident.
2,At Boughton Rd - Accident.
3,At Damen Ave/Exit 290 - Accident.
2,At US-20/Lake St/York Rd/Exit 12 - Accident.
2,At 76th St/Exit 60B - Accident.
2,At I-90/I-94 Eastern Split - Accident.
3,At Homan Ave/Exit 26B - Accident.
3,At Sacramento Blvd/Exit 27A - Accident.
2,At Winfield Rd - Accident.
3,At N Lehigh Ave - Accident.
3,At S Canal St - Accident.
3,At OHare Oasis - Accident.
2,At Austin Ave/Exit 82C - Accident.
3,At I-94/Torrence Ave/Exit 161 - Accident.
3,At 25th Ave/Exit 18 - Accident.
2,At Nagle Ave - Accident.
3,At IL-64/La Salle Dr - Accident.
3,At Cr-a49 - Accident.
4,Closed between IN-10/Exit 230 and IN-2/Exit 240 - Road closed due to accident.
2,At S Kedzie Ave - Accident.
4,Closed at 139th St - Road closed due to accident.
4,Ramp to I-290/US-20/IL-64 - Accident.
3,At IL-137/Buckley Rd - Accident.
2,At Butterfield Rd - Accident.
2,At Cr-v47 - Accident.
2,At IL-60/E Townline Rd - Accident.
2,At IL-59 - Accident.
2,At CR-25/Meyers Rd/Westmore-Meyers Rd - Accident.
2,At CR-25/Meyers Rd/Westmore-Meyers Rd - Accident.
2,At IL-60/Townline Rd/W Kennedy Rd - Accident.
2,At IL-60/Townline Rd/W Kennedy Rd - Accident.
2,At CR-9/Main St - Accident.
2,At CR-2/Finley Rd/Belmont Rd - Accident.
2,At Powis Rd - Accident.
2,At IL-38/Roosevelt Rd - Accident.
2,At Powis Rd - Accident.
2,At CR-23/Gary Ave - Accident.
2,At Baker Hill Dr - Accident.
2,At County Farm Rd - Accident.
3,At US-41/Skokie Hwy - Accident.
3,At US-45 - Accident.
3,At IL-21/N Milwaukee Ave - Accident.
3,At Cr-a22 - Accident.
2,Between 75th St and I-55/Stevenson Expy (South) - Accident.
3,At W Westleigh Rd - Accident.
3,At Cr-w19 - Accident.
3,At IL-131/N Green Bay Rd - Accident.
3,At Foster Ave/Exit 83A - Accident.
3,At Cr-a46 - Accident.
3,At US-45 - Accident.
3,At CR-32/CR-V77/N Old McHenry Rd - Accident.
3,At Hoyne Ave - Accident.
3,At 130th St/Exit 68 - Accident.
3,At US-45 - Accident.
3,At Park Blvd - Accident.
3,At Des Plaines Ave/Exit 21A - Accident.
3,At Central Ave/Exit 23B - Accident.
3,At Central Ave/Exit 285 - Accident.
3,At Touhy Ave/Exit 39 - Accident.
3,At I-55/Stevenson Expy/Exit 53C - Accident.
4,Closed at August Zupec Dr - Road closed due to accident.
2,At I-94/Torrence Ave/Exit 161 - Accident.
3,At 83rd St/Exit 61A/Exit 61B - Accident.
3,At Orchard Rd - Accident.
3,At Orchard Rd - Accident.
4,Closed at Galena Blvd - Road closed due to accident.
4,Closed at Indian Trail Rd - Road closed due to accident.
2,At IL-53/Exit 267 - Accident.
2,At Dolton Ave/Exit 70 - Accident.
2,Ramp to I-190/Jane Addams Meml Tollway WB - Accident.
2,Ramp to I-294/Tri-State Tollway - Accident.
2,At CR-14 - Accident.
2,At 82nd/83rd St Toll Plaza - Accident.
2,At IL-134/W Big Hollow Rd - Accident.
2,Between Genesee St and Old Mill Grove Rd - Accident.
2,Between Old Mill Grove Rd and Genesee St - Accident.
4,Closed at Old Mill Rd - Road closed due to accident.
2,At Cr-a20 - Accident.
2,At Beacon St - Accident.
2,At IL-59/Sutton Rd - Accident.
2,At CR-23 - Accident.
2,At Cr-a17 - Accident.
2,At Cemetery Rd - Accident.
3,At IL-132/Grand Ave - Accident.
3,At US-12/US-20/US-45/Exit 279 - Accident.
3,At Park Ave W - Accident.
3,At CR-32/CR-V77/Old McHenry Rd - Accident.
3,At Cr-a22 - Accident.
3,Between Greenleaf Ave and CR-38/CR-W20/S Oplaine Rd - Accident.
3,At IL-38/Roosevelt Rd - Accident.
3,At Montrose Ave/Exit 43C - Accident.
2,At CR-15/N Cass Ave - Accident.
3,At CR-43 - Accident.
3,At 43rd St/Exit 56A - Accident.
3,At IL-83/Sibley Blvd/Exit 71 - Accident.
4,Closed between 59th St/Exit 58A and 57th St - Road closed due to accident.
3,At 59th St/Exit 58A - Accident.
2,At Garfield Blvd/Exit 57B - Accident.
2,At IL-22/Half Day Rd - Accident.
2,At IL-22/Half Day Rd - Accident.
2,At Lake Villa - Accident.
2,At CR-51/CR-A12/W Petite Lake Rd - Accident.
2,At E Old Elm Rd/Old Elm Rd - Accident.
4,Closed at IL-68/Dundee Rd - Road closed due to accident. Roadwork.
4,Closed at S Barrington Rd/S Hough St - Road closed due to accident. Roadwork.
2,At I-90/I-94 Eastern Split - Accident.
2,At IL-50/Cicero Ave/Exit 286 - Accident.
2,At Cr-w19 - Accident.
2,At IL-134/W Big Hollow Rd - Accident.
2,At CR-7/W St Charles Rd - Accident.
2,At Winfield Rd - Accident.
2,At IL-22/Half Day Rd - Accident.
3,At 1st Ave/Exit 20 - Accident.
3,At CR-29/CR-W15/N Hunt Club Rd - Accident.
3,At Cr-w27 - Accident.
3,At CR-38/CR-W20/S Oplaine Rd - Accident.
3,At IL-131/N Green Bay Rd - Accident.
3,At Cr-a6 - Accident.
3,At IL-59 - Accident.
3,At Cr-v45 - Accident.
3,At US-41/Skokie Hwy - Accident.
3,At CR-25 - Accident.
3,At CR-43/S County Farm Rd - Accident.
3,At Cr-a17 - Accident.
3,Between 31st St/Exit 54 and I-55/Stevenson Expy/Exit 53C - Accident.
3,At CR-2/Finley Rd - Accident.
3,At Lake Ave/Exit 34 - Accident.
3,At 43rd St/Exit 56A - Accident.
3,At IL-38/Roosevelt Rd - Accident.
3,Between 31st St/Exit 54 and I-55/Stevenson Expy/Exit 53C - Accident.
3,At IL-72/Lee St - Accident.
3,At Addison St/Exit 45A - Accident. Jackknifed articulated truck.
3,At Adams St/Exit 51F - Accident.
3,Ramp to Exit 151B - Accident.
3,At Belmont Ave/Exit 45C - Accident.
3,At Addison St/Exit 45A - Accident.
3,At Kostner Ave/Exit 25 - Accident.
4,Closed at Church Rd - Road closed due to accident.
3,At Kostner Ave/Exit 25 - Accident.
2,At Pulaski Rd - Accident.
4,Closed between US-34/Ogden Falls Blvd and 5th St - Road closed due to accident.
4,Closed at US-34/Ogden Falls Blvd - Road closed due to accident.
2,At York Toll Plaza - Accident.
2,At IL-56/Butterfield Rd - Accident.
2,At Garfield Blvd/Exit 57B - Accident.
2,At IL-131 - Accident.
2,At Cr-w11 - Accident.
2,At US-45 - Accident.
2,At Pulaski Rd/Exit 287 - Accident.
3,Between 75th St and IL-171/Archer Ave - Accident.
2,At IL-171/Archer Ave - Accident.
2,At Glen Flora Ave - Accident.
2,At WI-11/Exit 29 - Accident.
4,Closed at CR-11/Deerfield Pky - Road closed due to accident.
3,At IL-64/North Ave/Exit 48B - Accident.
3,At Roselle Rd - Accident.
3,At 35th St/Exit 55A - Accident.
2,Between Exit 51H and Taylor St/Exit 52A - Accident.
2,At IL-56/Butterfield Rd - Accident.
2,At I-88/East-West Tollway - Accident.
3,At Cr-v63 - Accident.
3,Between I-65 and IN-10/Exit 230 - Accident.
3,At I-65 - Accident.
3,Between IL-171/Exit 282 and IL-43/Harlem Ave/Exit 283 - Accident.
3,Ramp to I-55/Stevenson Expy (North) - Accident.
3,Ramp to I-55 Northbound and Joliet Rd - Accident.
3,Ramp to I-55/Stevenson Expy and Joliet Rd - Accident.
3,At IL-83/Kingery Hwy - Accident.
3,At Sherman Rd - Accident.
3,At Touhy Ave/Exit 39 - Accident.
2,At 76th St/Exit 60B - Accident.
3,At 51st St/Exit 57A - Accident.
3,At Winfield Rd - Accident.
3,At Western Ave - Accident.
3,At S Kedzie Ave - Accident.
3,At I-57 - Accident.
2,At CR-5/CR-V62/N Quentin Rd - Accident.
2,At I-94/Tri-State Tollway - Accident.
3,Between W 135th St and 143rd St - Accident.
2,At IL-58/Golf Rd - Accident.
2,At California Ave/Exit 289 - Accident.
2,At IL-38/Roosevelt Rd - Accident.
2,At IL-22/W Half Day Rd - Accident.
2,At Cr-a19 - Accident.
2,At IL-59/Sutton Rd - Accident.
3,At Addison St/Exit 45A - Accident.
3,At Cr-a6 - Accident.
3,At 95th St - Accident.
2,At I-94/Bishop Ford Fwy - Accident.
3,At Cr-w34 - Accident.
3,At IL-21/N Milwaukee Ave - Accident.
3,At Ridge Rd - Accident.
3,At E Lake Cook Rd - Accident.
2,Between Butterfield Rd and US-45 - Accident.
3,At IL-22/Half Day Rd - Accident.
3,At Cr-v75 - Accident.
3,At I-290/IL-53 - Accident.
3,At Naperville Rd - Accident.
3,At I-80 - Accident.
3,At 17th Ave/Exit 19A - Accident.
3,At I-55/31st St/Stevenson Expy - Accident.
3,At US-45 - Accident.
3,At IL-53 - Accident.
3,At CR-26/CR-V76/W Gilmer Rd - Accident.
3,At I-290/Eisenhower Expy - Accident.
3,At IL-64/North Ave/Exit 48B - Accident.
3,At Central Ave/Exit 23B - Accident.
3,At I-57/Exit 151 - Accident.
2,At 35th St/Exit 55A - Accident.
2,At I-355/US-20/Lake St/Exit 7 - Accident.
2,At IL-120/Belvidere Rd - Accident.
2,At CR-7/W St Charles Rd - Accident.
3,At Damen Ave/Exit 290 - Accident.
2,At Tower Rd/Exit 31 - Accident.
3,Between Willow Rd and IL-58/Golf Rd - Accident.
2,At US-6/159th St/Exit 73 - Accident.
2,At Janes Ave - Accident.
2,Between I-355/North-South Tollway and Janes Ave - Accident.
2,At IL-59 - Accident.
2,Between Chicago Southland Lincoln Oasis and IL-1/Halsted St - Accident.
2,At CR-61/CR-A36/Bonner Rd - Accident.
2,At Ivanhoe Rd - Accident.
3,At Pulaski Rd/Exit 287 - Accident.
3,At Dempster St - Accident.
3,At I-90/N-W Tollway/Kennedy Expy - Accident.
3,At CR-V69/Arlington Heights Rd - Accident.
3,At IL-62/Algonquin Rd - Accident.
3,At Skokie Hwy - Accident.
3,At CR-33/75th St - Accident.
3,At CR-27/Jewell Rd - Accident.
3,Between US-34/Ogden Ave and I-88/E-W Tollway (North) - Accident.
3,At Robert Parker Coffin Rd - Accident.
3,At CR-34 - Accident.
3,At CR-29/CR-W15/N Hunt Club Rd - Accident.
3,At Cr-v76 - Accident.
3,At Cr-v45 - Accident.
3,At IL-83 - Accident.
3,At N Western Ave - Accident.
3,At Old Stearns Rd - Accident.
3,At Powis Rd - Accident.
2,At 31st St/Exit 54 - Accident.
3,At St Charles Rd/Exit 14 - Accident.
3,At Garfield Blvd/Exit 57B - Accident.
4,Closed at Elgin - Road closed due to accident.
4,Closed at US-20-BR/Villa St - Road closed due to accident.
3,Between I-55/Stevenson Expy/Exit 53C and I-55/Stevenson Expy/Exit 53B - Accident.
2,At I-55/Stevenson Expy/Exit 53C - Accident.
3,At Lake St/Exit 51A - Accident.
2,At W Madison St - Accident.
2,At Washington Blvd - Accident.
3,Between Joliet Rd/Exit 276C and I-294/Exit 277B - Accident.
2,At 63rd St/Exit 58B - Accident.
4,At 119th St/Exit 354 - Accident.
3,Between Grant St/Exit 9 and Burr St/Exit 6 - Accident.
3,At US-12/US-20/95th St/Exit 62 - Accident.
4,Closed between 167th St/Exit 346 and I-80/Exit 345 - Road closed due to accident.
3,Between 167th St/Exit 346 and I-80/Exit 345 - Accident.
2,At I-290/Eisenhower Expy - Accident.
2,At Boughton Toll Plaza - Accident.
4,Closed between Western Ave and Damen Ave - Road closed due to accident.
4,Closed at Western Ave - Road closed due to accident.
2,At IN-912/Cline Ave/Exit 5 - Accident.
4,Closed at La Porte - Road closed due to accident.
4,Closed at La Porte - Road closed due to accident.
2,At State St/Exit 293C - Accident.
3,Between I-55/Stevenson Expy/Exit 53B and Canalport Ave/Cermak Rd/Exit 53 - Accident.
3,At I-290/US-20/IL-64 - Accident.
3,Between 75th St and I-55/Stevenson Expy (South) - Accident.
2,At Cr-a50 - Accident.
2,At IL-59 - Accident.
4,Closed at US-14/Northwest Hwy - Road closed due to accident.
4,Closed at North Ave - Road closed due to accident.
4,Closed at IL-59 - Road closed due to accident.
4,Closed at Hough St - Road closed due to accident.
2,At US-12/S Rand Rd - Accident.
2,At IL-83/Barron Blvd - Accident.
2,At Bailey Rd - Accident.
3,At Laramie Ave/Exit 24A - Accident.
2,At Lake Cook Rd - Accident.
2,At N McCormick Rd/N Kimball Ave - Accident.
2,At IL-83 - Accident.
2,At CR-39/CR-V68/Alleghany Rd - Accident.
2,At Main St - Accident.
2,At Elgin Ohare Expy - Accident.
2,At Deerpath Dr - Accident.
2,At IL-53 - Accident.
2,At Lake Cook Rd - Accident.
2,At Army Trail Rd - Accident.
2,At Gages Lake Rd - Accident.
2,At Washington St - Accident.
3,At I-290/Eisenhower Exy/Exit 51H/51I - Accident.
2,At Buckley Rd - Accident.
2,At Canalport Ave/Cermak Rd/Exit 53 - Accident.
2,At Deerfield Rd/Deerfield Pky - Accident.
2,At US-14 - Accident.
2,At 22nd St - Accident.
2,Between OHare Oasis and I-290/US-20/IL-64 - Accident.
2,At CR-25/Fairview Ave - Accident.
2,At CR-2 - Accident.
2,At IL-21/Milwaukee Ave - Accident.
2,At Cr-w16 - Accident.
2,At Cr-w16 - Accident.
2,At IL-176 - Accident.
2,At Western Ave - Accident.
2,At St Charles Rd - Accident.
2,At IL-176/W Liberty St - Accident.
2,Between US-41/Indianapolis Blvd/Exit 2 and US-41/Calumet Ave/Exit 1 - Accident.
2,At IL-176 - Accident.
2,At IL-176 - Accident.
2,Between I-94 and Hewitt Dr - Accident.
2,At CR-32/CR-V77/N Old McHenry Rd - Accident.
2,At 2nd St - Accident.
2,At IL-64/North Ave - Accident.
2,At E Old Elm Rd/Old Elm Rd - Accident.
2,At Fairview Ave - Accident.
2,At 75th St - Accident.
2,At I-90/Jane Addams Memorial Tollway - Accident.
2,At Janet Ave - Accident.
2,At IL-53 - Accident.
2,At IL-38/W Roosevelt Rd - Accident.
2,At IL-38/W Roosevelt Rd - Accident.
3,Between I-55/Stevenson Expy/Exit 53C and I-55/Stevenson Expy/Exit 53B - Accident.
2,At Fullerton Ave/Exit 47A - Accident.
3,At US-421/Exit 34 - Accident.
2,At US-30/Exit 257 - Accident.
2,At I-90/N-W Tollway/Kennedy Expy - Accident.
3,At Oakley BLV/Western Ave/Exit 27C - Accident.
3,At 75th St - Accident.
2,At E Lake Cook Rd - Accident.
2,At Northpoint Blvd - Accident.
3,At I-355/Exit 269 - Accident.
2,At IL-60/Town Line Rd - Accident.
2,At US-12/US-20/95th St - Accident.
2,At CR-33/CR-A44/Aptakisic Rd - Accident.
2,At WI-100/Ryan Rd/Exit 322 - Accident.
2,At Maryland St - Accident.
3,At I-55 - Accident.
2,At Main St - Accident.
2,At Loop Rd - Accident.
2,At CR-A50/W Lake Cook Rd - Accident.
2,At Harrison Ave - Accident.
2,At CR-9 - Accident.
2,At IL-83 - Accident.
2,At US-12/IL-59 - Accident.
2,At Cr-a22 - Accident.
2,At CR-9 - Accident.
2,At US-34/Ogden Ave/Warrenville Rd - Accident.
2,At Park Blvd - Accident.
2,Between I-94/Torrence Ave/Exit 161 and I-94 - Accident.
2,At I-355/North-South Tollway - Accident.
2,At I-290/US-20/IL-64 - Accident.
2,At CR-9/Main St - Accident.
3,At I-290/US-20/IL-64 - Accident.
2,At IL-64/North Ave - Accident.
3,At I-290/US-20/IL-64 - Accident.
2,At W Madison St - Accident.
2,At Devon Toll Plaza - Accident.
2,At Burr St/Exit 6 - Accident.
2,At CR-5/CR-V62/N Quentin Rd - Accident.
2,At IL-132/W Grand Ave/N Entrance Dr - Accident.
2,At Cr-a49 - Accident.
2,At Cr-v75 - Accident.
2,At IL-59/Sutton Rd - Accident.
2,At I-355 (North) - Accident.
2,At Pinewood Dr - Accident.
2,At W 127th St - Accident.
2,At IL-83/Kingery Hwy - Accident.
4,Closed at IL-126 - Road closed due to accident.
3,Between Stony Island Ave/Exit 65 and I-57/Exit 63 - Accident.
2,At Cr-a18 - Accident.
2,At Cr-a18 - Accident.
2,Between US-14/N Ridge Ave/N Broadway St and Winthrop Ave - Accident.
2,Between Winthrop Ave and US-14/N Ridge Ave/N Broadway St - Accident.
2,At Boughton Rd - Accident.
2,At US-14/Dempster St - Accident.
2,At Roosevelt Rd - Accident.
2,At I-294/Tri-State Tollway - Accident.
2,At US-41/Skokie Hwy - Accident.
2,Between Fullerton Pky and Belmont Ave - Accident.
2,At St Charles Rd - Accident.
2,At CR-25 - Accident.
2,At CR-23/Gary Ave - Accident.
2,At CR-36/CR-V67/Deep Lake Rd - Accident.
2,At IL-83/Main St - Accident.
2,At IL-64/North Ave - Accident.
2,At CR-2 - Accident.
2,At 63rd St - Accident.
2,At US-20 - Accident.
2,At IL-120 - Accident.
2,Between CR-38/CR-W20/S Oplaine Rd and I-94/Tri-State Tollway - Accident.
2,At IL-132/Grand Ave - Accident.
2,At 1st Ave/Exit 20 - Accident.
2,At US-45 - Accident.
2,At Diehl Rd - Accident.
2,At Cr-w12 - Accident.
2,At Buckley Rd - Accident.
2,Between IL-72/Lee St and Devon Toll Plaza - Accident.
2,At Elgin - Accident.
2,At IL-171/Exit 282 - Accident.
4,Closed at IL-17 - Road closed due to accident.
2,At 115th St/Exit 66B - Accident.
2,At IL-31 - Accident.
2,At IL-68/Dundee Rd/Exit 30 - Accident.
3,At Lemont Rd/Exit 271 - Accident.
2,At IL-1/Halsted St/Exit 357 - Accident.
2,At 79th St - Accident.
2,At Barrington Rd/County Farm Rd - Accident.
2,At Division St/Exit 49A - Accident.
2,At US-6/IN-51/Ripley St/Exit 15 - Accident.
2,At IL-83/Kingery Expy - Accident.
2,At IL-63/Midlothian Rd - Accident.
2,At IL-59 - Accident.
2,At IL-83/Kingery Hwy/W Grand Ave - Accident.
2,At IL-43/Harlem Ave/Exit 283 - Accident.
2,At 16th St - Accident.
2,At Cr-a42 - Accident.
2,At 18th St - Accident.
2,At Weaver Pkwy - Accident.
2,At CR-23/Naperville Rd - Accident.
3,At IL-72/Lee St - Accident.
2,At Old Rand Rd - Accident.
2,At US-20/Lake St - Accident.
2,At IL-25 - Accident.
2,At Martin Luther King Jr Ave - Accident.
2,At IL-56/Butterfield Rd - Accident.
2,At IL-56/Butterfield Rd - Accident.
2,At Butterfield Rd - Accident.
2,At Butterfield Rd - Accident.
4,Ramp closed to Exit 53B - Road closed due to accident.
2,At Cermak Rd/Exit 293 - Accident.
3,At I-94/Lake-Cook Rd - Accident.
2,At W Howard St - Accident.
2,At IL-58 - Accident.
2,At IL-43 - Accident.
2,At CR-34 - Accident.
2,At US-12/US-20/US-45/Exit 17 - Accident.
2,At Ohio St/Exit 50B - Accident.
2,At Ohio St/Exit 50B - Accident.
3,Between Stony Island Ext and Stony Island Ave/Exit 65 - Accident.
3,At Damen Ave/Exit 290 - Accident.
2,Between Tower Dr and IL-56/Butterfield Rd - Accident.
2,Between IL-56/Butterfield Rd and Tower Dr - Accident.
3,At 111th St/Exit 66A - Accident.
2,At US-12/US-20/95th St - Accident.
2,At US-12/US-20/95th St - Accident.
2,At IL-22/Half Day Rd - Accident.
3,At Damen Ave/Exit 290 - Accident.
2,At Burr St/Exit 6 - Accident.
2,At York Rd - Accident.
2,At 76th St/Exit 60B - Accident involving bus.
2,At I-65/Exit 12 - Accident.
3,At 76th St/Exit 60B - Accident.
2,At IL-176/Rockland Rd - Accident.
2,At Hickory Dr - Accident.
2,At CR-34 - Accident.
3,At I-290/IL-53 - Accident.
3,At S Stony Island Ave - Accident.
3,At Oakwood Blvd - Accident.
3,At Joliet Rd/Coolspring Dr - Accident.
3,At Joliet Rd/Coolspring Dr - Accident.
3,At IL-43/Waukegan Rd - Accident.
3,At IL-176/W Liberty St - Accident.
3,At Canal St - Accident.
3,At I-355/North-South Tollway - Accident.
3,At Leask Ln - Accident.
3,At US-45/IL-21/Milwaukee Ave - Accident.
3,At E Old Elm Rd/Old Elm Rd - Accident.
3,At Keeler Ave/Exit 44A - Accident.
3,At 9th Ave/Exit 19B - Accident.
3,At Ohare Oasis - Accident.
3,Between IL-1/Halsted St and I-294/Tri-State Tollway - Accident.
2,At Randall Rd - Accident.
2,At I-355 (North) - Accident.
2,At IL-137/Buckley Rd - Accident.
2,At Cr-a22 - Accident.
2,Between Milwaukee Ave/S Riverside Dr and I-94/Tri-State Tollway - Accident.
2,Between 75th St and I-55/Stevenson Expy (South) - Accident.
3,At IL-47 - Accident.
2,At CR-51/CR-A12/W Petite Lake Rd - Accident.
2,At Cr-w16 - Accident.
2,Between US-12/Rand Rd and IL-53-ext - Accident.
2,At Lake St/Exit 51A - Accident.
2,At IL-21/Milwaukee Ave/N Riverside Dr - Accident.
2,At 25th Ave/Exit 18 - Accident.
2,At 21st St - Accident.
2,At Stonegate Rd - Accident.
2,At CR-21/Geneva Rd - Accident.
3,At CR-29/CR-W15/N Hunt Club Rd - Accident.
3,At IL-22 - Accident.
4,Closed at CR-34/Randall Rd - Road closed due to accident.
3,At N Prairie Rd - Accident.
3,At 43rd St/Exit 56A - Accident.
3,At Lake Cook Rd - Accident.
3,At Cr-a1 - Accident.
3,At Cr-v49 - Accident.
3,At I-55/Stevenson Expy/Exit 53B - Accident.
3,At Cr-a46 - Accident.
3,At McHenry/Boone County Line - Accident.
3,At CR-53/Diehl Rd - Accident.
3,At Hastings Ave - Accident.
3,At Old Elm Rd - Accident.
4,Closed between Lake Ave/Exit 34 and US-41/Skokie Rd/Exit 34 - Road closed due to accident.
